iter	Passed	Remaining
356	1728	3113
357	1732	3106
358	1735	3099
359	1739	3092
360	1742	3084
361	1746	3078
362	1750	3071
363	1753	3064
364	1757	3057
365	1760	3050
366	1764	3043
367	1767	3036
368	1771	3028
369	1774	3022
370	1779	3016
371	1785	3013
372	1789	3008
373	1794	3003
374	1797	2996
375	1801	2990
376	1805	2983
377	1809	2977
378	1813	2970
379	1816	2964
380	1820	2957
381	1823	2950
382	1828	2945
383	1832	2939
384	1836	2933
385	1841	2928
386	1846	2924
387	1851	2920
388	1856	2916
389	1861	2911
390	1866	2906
391	1870	2901
392	1874	2895
393	1879	2891
394	1885	2887
395	1890	2882
396	1894	2878
397	1898	2872
398	1902	2865
399	1906	2859
400	1910	2854
401	1914	2847
402	1917	2841
403	1921	2834
404	1926	2829
405	1929	2823
406	1933	2816
407	1936	2810
408	1940	2804
409	1944	2798
410	1948	2791
411	1951	2785
412	1955	2778
413	1959	2773
414	1963	2767
415	1966	2761
416	1970	2754
417	1975	2750
418	1978	2743
419	1982	2737
420	1985	2730
421	1990	2726
422	1993	2719
423	1997	2713
424	2000	2707
425	2005	2701
426	2009	2696
427	2012	2689
428	2016	2683
429	2020	2678
430	2024	2673
431	2028	2667
432	2032	2661
433	2035	2655
434	2040	2649
435	2043	2643
436	2047	2637
437	2051	2631
438	2055	2626
439	2058	2620
440	2062	2613
441	2065	2607
442	2069	2602
443	2073	2596
444	2077	2590
445	2081	2585
446	2085	2580
447	2089	2574
448	2092	2568
449	2096	2562
450	2100	2556
451	2104	2551
452	2107	2545
453	2111	2539
454	2115	2533
455	2118	2527
456	2122	2521
457	2126	2516
458	2129	2510
459	2133	2504
460	2137	2499
461	2142	2494
462	2146	2489
463	2151	2485
464	2156	2480
465	2161	2476
466	2166	2472
467	2172	2469
468	2177	2464
469	2181	2460
470	2186	2455
471	2191	2451
472	2196	2447
473	2202	2443
474	2206	2439
475	2211	2434
476	2216	2430
477	2220	2424
478	2223	2418
479	2227	2413
480	2232	2408
481	2237	2404
482	2241	2399
483	2245	2394
484	2249	2388
485	2254	2384
486	2259	2379
487	2264	2375
488	2269	2371
489	2274	2367
490	2280	2363
491	2284	2359
492	2289	2354
493	2311	2367
494	2315	2362
495	2319	2356
496	2324	2352
497	2329	2348
498	2333	2342
499	2337	2337
500	2340	2331
501	2344	2326
502	2348	2320
503	2352	2314
504	2355	2309
505	2359	2303
506	2363	2297
507	2366	2292
508	2370	2286
509	2374	2281
510	2377	2275
511	2381	2269
512	2384	2263
513	2388	2258
514	2392	2253
515	2396	2247
516	2399	2241
517	2403	2236
518	2406	2230
519	2410	2224
520	2413	2219
521	2417	2213
522	2420	2207
523	2424	2202
524	2428	2196
525	2431	2191
526	2435	2185
527	2438	2180
528	2442	2174
529	2446	2169
530	2449	2163
531	2453	2158
532	2457	2153
533	2460	2147
534	2464	2142
535	2468	2136
536	2472	2131
537	2476	2126
538	2480	2121
539	2486	2118
540	2490	2113
541	2495	2108
542	2500	2104
543	2506	2100
544	2511	2096
545	2516	2092
546	2522	2089
547	2527	2084
548	2531	2079
549	2535	2074
550	2539	2069
551	2544	2064
552	2548	2059
553	2552	2055
554	2556	2049
555	2560	2044
556	2564	2039
557	2568	2034
558	2572	2029
559	2576	2024
560	2579	2018
561	2583	2013
562	2586	2007
563	2590	2002
564	2594	1997
565	2597	1991
566	2601	1986
567	2604	1981
568	2608	1975
569	2612	1970
570	2615	1965
571	2619	1960
572	2623	1954
573	2627	1949
574	2631	1945
575	2635	1940
576	2639	1934
577	2642	1929
578	2646	1924
579	2650	1919
580	2654	1914
581	2657	1908
582	2661	1903
583	2664	1898
584	2668	1892
585	2672	1887
586	2675	1882
587	2679	1877
588	2682	1872
589	2686	1866
590	2689	1861
591	2693	1856
592	2696	1851
593	2700	1845
594	2704	1840
595	2709	1836
596	2713	1832
597	2718	1827
598	2722	1822
599	2728	1818
600	2732	1814
601	2735	1808
602	2739	1803
603	2743	1798
604	2747	1793
605	2751	1788
606	2755	1783
607	2759	1779
608	2763	1774
609	2767	1769
610	2772	1765
611	2776	1760
612	2779	1755
613	2783	1749
614	2787	1744
615	2791	1739
616	2794	1734
617	2798	1729
618	2802	1725
619	2806	1720
620	2810	1715
621	2814	1710
622	2818	1705
623	2822	1700
624	2826	1696
625	2831	1691
626	2835	1686
627	2839	1681
628	2842	1676
629	2846	1671
630	2850	1666
631	2854	1661
632	2857	1656
633	2861	1652
634	2865	1647
635	2869	1642
636	2873	1637
637	2877	1632
638	2881	1627
639	2885	1623
640	2889	1618
641	2894	1613
642	2897	1608
643	2901	1603
644	2905	1598
645	2908	1594
646	2912	1589
647	2916	1584
648	2920	1579
649	2925	1575
650	2929	1570
651	2932	1565
652	2936	1560
653	2945	1558
654	2951	1554
655	2955	1549
656	2959	1544
657	2962	1540
658	2966	1534
659	2970	1530
660	2973	1525
661	2977	1520
662	2980	1515
663	2984	1510
664	2987	1505
665	2991	1500
666	2995	1495
667	2998	1490
668	3002	1485
669	3005	1480
670	3009	1475
671	3013	1470
672	3016	1465
673	3020	1460
674	3023	1455
675	3027	1451
676	3031	1446
677	3035	1441
678	3038	1436
679	3042	1431
680	3045	1426
681	3049	1421
682	3052	1416
683	3056	1412
684	3060	1407
685	3064	1402
686	3067	1397
687	3071	1392
688	3075	1388
689	3078	1383
690	3082	1378
691	3086	1373
692	3089	1368
693	3093	1363
694	3096	1358
695	3100	1354
696	3104	1349
697	3107	1344
698	3111	1339
699	3115	1335
700	3118	1330
701	3122	1325
702	3126	1320
703	3129	1315
704	3133	1311
705	3136	1306
706	3140	1301
707	3144	1296
708	3147	1291
709	3151	1287
710	3155	1282
711	3158	1277
712	3162	1272
713	3165	1268
714	3169	1263
715	3173	1258
716	3177	1254
717	3181	1249
718	3185	1244
719	3189	1240
720	3192	1235
721	3196	1230
722	3200	1226
723	3204	1221
724	3207	1216
725	3211	1211
726	3214	1207
727	3218	1202
728	3222	1197
729	3225	1193
730	3229	1188
731	3232	1183
732	3236	1178
733	3240	1174
734	3244	1169
735	3247	1164
736	3251	1160
737	3254	1155
738	3258	1150
739	3262	1146
740	3266	1141
741	3269	1136
742	3273	1132
743	3277	1127
744	3281	1123
745	3285	1118
746	3288	1113
747	3292	1109
748	3296	1104
749	3301	1100
750	3305	1095
751	3309	1091
752	3313	1087
753	3317	1082
754	3321	1077
755	3324	1073
756	3327	1068
757	3332	1063
758	3335	1059
759	3338	1054
760	3342	1049
761	3346	1045
762	3349	1040
763	3353	1035
764	3356	1031
765	3360	1026
766	3364	1021
767	3367	1017
768	3371	1012
769	3375	1008
770	3379	1003
771	3384	999
772	3388	995
773	3396	991
774	3400	987
775	3404	982
776	3408	978
777	3412	973
778	3416	969
779	3420	964
780	3424	960
781	3428	955
782	3434	951
783	3438	947
784	3442	942
785	3447	938
786	3450	933
787	3454	929
788	3458	924
789	3462	920
790	3466	915
791	3470	911
792	3474	906
793	3478	902
794	3482	897
795	3486	893
796	3490	888
797	3494	884
798	3497	879
799	3501	875
800	3505	870
801	3509	866
802	3513	862
803	3517	857
804	3521	853
805	3525	848
806	3529	844
807	3533	839
808	3537	835
809	3541	830
810	3545	826
811	3548	821
812	3553	817
813	3556	812
814	3560	808
815	3564	803
816	3568	799
817	3572	794
818	3575	790
819	3579	785
820	3583	781
821	3587	776
822	3590	772
823	3594	767
824	3597	763
825	3601	758
826	3605	754
827	3608	749
828	3612	745
829	3616	740
830	3620	736
831	3623	731
832	3627	727
833	3631	722
834	3634	718
835	3638	713
836	3642	709
837	3645	704
838	3649	700
839	3652	695
840	3656	691
841	3660	686
842	3663	682
843	3667	677
844	3671	673
845	3674	668
846	3678	664
847	3681	659
848	3685	655
849	3689	651
850	3692	646
851	3696	642
852	3700	637
853	3703	633
854	3707	628
855	3710	624
856	3714	619
857	3718	615
858	3721	610
859	3725	606
860	3729	602
861	3732	597
862	3736	593
863	3739	588
864	3743	584
865	3747	579
866	3750	575
867	3754	570
868	3757	566
869	3761	562
870	3765	557
871	3768	553
872	3772	548
873	3775	544
874	3779	539
875	3783	535
876	3786	531
877	3790	526
878	3793	522
879	3797	517
880	3802	513
881	3806	509
882	3810	504
883	3814	500
884	3817	496
885	3821	491
886	3824	487
887	3828	482
888	3832	478
889	3835	474
890	3839	469
891	3842	465
892	3846	460
893	3850	456
894	3853	452
895	3856	447
896	3860	443
897	3864	438
898	3867	434
899	3871	430
900	3874	425
901	3878	421
902	3882	417
903	3885	412
904	3889	408
905	3893	403
906	3896	399
907	3900	395
908	3903	390
909	3907	386
910	3911	382
911	3914	377
912	3918	373
913	3922	369
914	3926	364
915	3929	360
916	3933	356
917	3937	351
918	3940	347
919	3944	342
920	3947	338
921	3952	334
922	3955	330
923	3959	325
924	3962	321
925	3966	317
926	3970	312
927	3974	308
928	3977	304
929	3981	299
930	3985	295
931	3989	291
932	3992	286
933	3996	282
934	4000	278
935	4003	273
936	4007	269
937	4011	265
938	4015	260
939	4019	256
940	4023	252
941	4026	247
942	4030	243
943	4033	239
944	4037	234
945	4041	230
946	4044	226
947	4048	222
948	4052	217
949	4055	213
950	4059	209
951	4063	204
952	4066	200
953	4070	196
954	4073	191
955	4077	187
956	4081	183
957	4084	179
958	4088	174
959	4092	170
960	4095	166
961	4099	161
962	4103	157
963	4106	153
964	4110	149
965	4114	144
966	4117	140
967	4121	136
968	4124	131
969	4129	127
970	4133	123
971	4137	119
972	4141	114
973	4145	110
974	4149	106
975	4153	102
976	4156	97
977	4160	93
978	4164	89
979	4167	85
980	4171	80
981	4174	76
982	4178	72
983	4181	67
984	4185	63
985	4189	59
986	4193	55
987	4196	50
988	4200	46
989	4204	42
990	4207	38
991	4211	33
992	4215	29
993	4220	25
994	4225	21
995	4231	16
996	4237	12
997	4244	8
998	4251	4
999	4255	0
