iter	RMSE
587	40339.67032
588	40330.14307
589	40315.77676
590	40302.43452
591	40289.84612
592	40275.98972
593	40268.7431
594	40259.15184
595	40248.96608
596	40236.25511
597	40231.06449
598	40219.6341
599	40204.7201
600	40194.17481
601	40177.94802
602	40170.88988
603	40154.48488
604	40143.19719
605	40127.45141
606	40109.56835
607	40096.55031
608	40079.8021
609	40065.17077
610	40054.32407
611	40042.73716
612	40036.55961
613	40020.76656
614	40010.38426
615	39999.67747
616	39985.68414
617	39974.44537
618	39961.89599
619	39946.00704
620	39933.24312
621	39914.84076
622	39901.31088
623	39885.59176
624	39871.00917
625	39852.36999
626	39841.18998
627	39827.9174
628	39822.40712
629	39809.89055
630	39797.96376
631	39774.26289
632	39770.33528
633	39756.48423
634	39748.3025
635	39735.0461
636	39718.39802
637	39708.34441
638	39696.26865
639	39685.81744
640	39673.69174
641	39662.32575
642	39647.90324
643	39638.97238
644	39621.19161
645	39606.65156
646	39601.14183
647	39590.03109
648	39574.25325
649	39562.69126
650	39554.00813
651	39540.7639
652	39531.44727
653	39520.5374
654	39510.51112
655	39496.88436
656	39491.16461
657	39478.14116
658	39466.9592
659	39444.29671
660	39431.26079
661	39414.61548
662	39404.10989
663	39391.21918
664	39373.62507
665	39358.3901
666	39348.0522
667	39331.58759
668	39315.79367
669	39300.16918
670	39284.80752
671	39274.62355
672	39258.13086
673	39241.19082
674	39225.19715
675	39213.39574
676	39202.31929
677	39195.02283
678	39189.89983
679	39173.40604
680	39165.59536
681	39148.16979
682	39132.64484
683	39121.42934
684	39116.61465
685	39110.38377
686	39099.3712
687	39083.35751
688	39074.29628
689	39063.84517
690	39049.96608
691	39033.12708
692	39013.14301
693	38997.9189
694	38990.94921
695	38973.67318
696	38959.91329
697	38942.95546
698	38931.23391
699	38925.3357
700	38915.14945
701	38902.08823
702	38899.69908
703	38885.3459
704	38874.70854
705	38863.44481
706	38857.04858
707	38845.01151
708	38836.63351
709	38825.43794
710	38813.4763
711	38798.44853
712	38787.59313
713	38776.366
714	38768.92201
715	38755.80184
716	38742.82239
717	38730.01451
718	38718.82648
719	38710.78828
720	38700.05776
721	38690.10472
722	38680.79104
723	38664.61307
724	38656.59714
725	38650.63633
726	38639.514
727	38625.97893
728	38609.42181
729	38601.20044
730	38596.50322
731	38581.65567
732	38570.54041
733	38561.75845
734	38552.45049
735	38537.45815
736	38523.27968
737	38507.18361
738	38496.67469
739	38486.86078
740	38471.66556
741	38462.47055
742	38445.61639
743	38432.36549
744	38418.62415
745	38399.51444
746	38385.60023
747	38376.06616
748	38362.24882
749	38353.33382
750	38346.002
751	38331.87528
752	38323.32427
753	38311.93342
754	38303.8421
755	38294.69264
756	38284.40104
757	38274.39439
758	38260.34045
759	38246.42694
760	38232.85781
761	38223.65539
762	38217.08321
763	38207.05164
764	38194.07563
765	38181.50319
766	38167.33198
767	38162.35973
768	38151.55018
769	38141.38926
770	38133.87152
771	38126.47055
772	38111.96933
773	38100.18004
774	38085.25483
775	38067.27852
776	38054.7711
777	38043.36325
778	38030.9648
779	38022.1583
780	38010.47081
781	38001.59459
782	37987.93647
783	37975.99079
784	37963.93373
785	37952.03974
786	37946.84286
787	37933.86747
788	37927.39376
789	37917.36621
790	37912.26848
791	37898.85239
792	37888.0116
793	37871.7005
794	37863.08058
795	37854.42412
796	37843.99277
797	37836.90408
798	37826.67794
799	37816.99393
800	37804.36607
801	37794.34991
802	37771.01757
803	37758.93936
804	37750.2984
805	37739.16221
806	37731.98709
807	37720.10338
808	37710.36517
809	37700.6182
810	37691.50086
811	37684.45174
812	37675.77427
813	37662.39697
814	37649.64998
815	37641.08946
816	37634.69691
817	37623.29626
818	37611.9138
819	37591.91329
820	37582.46203
821	37574.55035
822	37564.7081
823	37553.88087
824	37544.41423
825	37530.36895
826	37515.98096
827	37506.16728
828	37494.76266
829	37481.86339
830	37472.91928
831	37465.5997
832	37448.04861
833	37425.14352
834	37415.17197
835	37406.80411
836	37394.03417
837	37384.42864
838	37378.46286
839	37371.34279
840	37358.94527
841	37351.06353
842	37340.32699
843	37325.24143
844	37319.77376
845	37312.71607
846	37307.0331
847	37297.40506
848	37289.72247
849	37279.17233
850	37268.64844
851	37259.82915
852	37251.12126
853	37239.84463
854	37230.0972
855	37223.02196
856	37214.64403
857	37204.60351
858	37194.31699
859	37180.52157
860	37175.47618
861	37165.09195
862	37158.41298
863	37147.07339
864	37137.16362
865	37128.50266
866	37118.94141
867	37108.62045
868	37098.95616
869	37091.24624
870	37080.30994
871	37076.27684
872	37064.84598
873	37058.6127
874	37048.80366
875	37038.80091
876	37031.27542
877	37019.80601
878	37012.35713
879	37002.01232
880	36989.85513
881	36979.06086
882	36969.11262
883	36962.11256
884	36957.34075
885	36946.6012
886	36940.52879
887	36928.03225
888	36921.31429
889	36907.63948
890	36898.84932
891	36890.06422
892	36883.53545
893	36872.32086
894	36863.16352
895	36852.34232
896	36844.54284
897	36835.43475
898	36828.87197
899	36818.11898
900	36803.5195
901	36797.37759
902	36785.03371
903	36779.67136
904	36766.1709
905	36756.08649
906	36750.32867
907	36739.79855
908	36730.41186
909	36722.02044
910	36710.73097
911	36701.47695
912	36690.85082
913	36686.08963
914	36677.45916
915	36663.76468
916	36654.3306
917	36640.79173
918	36630.39473
919	36620.13033
920	36607.53779
921	36598.62774
922	36587.81776
923	36580.67746
924	36572.90455
925	36562.78148
926	36553.92679
927	36547.75457
928	36537.17208
929	36526.74074
930	36517.97982
931	36509.96367
932	36497.43275
933	36488.3478
934	36476.74215
935	36464.4002
936	36450.96173
937	36441.4512
938	36431.20489
939	36424.40034
940	36410.59848
941	36405.09213
942	36396.72516
943	36392.21094
944	36380.22805
945	36373.19448
946	36365.46992
947	36353.85704
948	36348.29959
949	36334.84002
950	36325.73839
951	36318.86993
952	36310.23986
953	36305.45302
954	36292.39744
955	36284.04545
956	36274.50221
957	36268.44778
958	36261.69244
959	36250.90877
960	36240.88675
961	36235.82253
962	36226.24741
963	36219.96332
964	36209.11
965	36199.93177
966	36190.15478
967	36181.23412
968	36174.44497
969	36164.55662
970	36154.53234
971	36145.94107
972	36141.6478
973	36130.49833
974	36119.04368
975	36108.31521
976	36101.654
977	36095.38449
978	36088.8197
979	36080.52916
980	36066.88062
981	36052.18001
982	36043.30121
983	36034.88891
984	36024.93203
985	36018.22632
986	36010.89328
987	36006.37959
988	35996.52321
989	35984.69689
990	35970.26539
991	35963.88655
992	35954.46008
993	35946.66666
994	35929.75111
995	35920.46473
996	35913.27033
997	35904.59204
998	35896.06665
999	35886.42095
